Metric,Real_Mean,Real_Std,Generated_Mean,Generated_Std,MAE,MAE_Std,RMSE,RMSE_Std,Correlation,Correlation_Std,Real_Format,Generated_Format,MAE_Format,Correlation_Format
PI,-35.039939880371094,442.2659606933594,-3.501953125,1.8408203125,48.90593719482422,40.089839935302734,443.82806396484375,571.943115234375,-0.018274940634037267,0.0873860309719477,-35.0399 ± 442.2660,-3.5020 ± 1.8408,48.9059 ± 40.0898,-0.0183 ± 0.0874
RI,2.2001051902770996,1.4655507802963257,-2.375,inf,19.109907150268555,28.284738540649414,131.96099853515625,243.11480712890625,0.06898736028527841,0.05067133226730623,2.2001 ± 1.4656,-2.3750 ± inf,19.1099 ± 28.2847,0.0690 ± 0.0507
SD_Ratio,-0.9234247207641602,0.24085989594459534,-0.193359375,0.1563720703125,0.7390750646591187,0.3250162899494171,0.8010586500167847,0.299934446811676,-0.0217762660993653,0.0561014742875179,-0.9234 ± 0.2409,-0.1934 ± 0.1564,0.7391 ± 0.3250,-0.0218 ± 0.0561
Heart_Rate,140.65083004224007,8.293262738252988,140.59118956807248,7.426779766051885,4.7842236460898935,0.6867012947959069,7.278541002337515,1.1024589125726567,0.5785961151162564,0.15040965893458275,140.6508 ± 8.2933,140.5912 ± 7.4268,4.7842 ± 0.6867,0.5786 ± 0.1504
PSV,0.7545366883277893,0.14796504378318787,0.1422119140625,0.08050537109375,0.6128034591674805,0.1498982310295105,0.6378644704818726,0.14044880867004395,0.09071529728534768,0.167412785850694,0.7545 ± 0.1480,0.1422 ± 0.0805,0.6128 ± 0.1499,0.0907 ± 0.1674
EDV,-0.8367176055908203,0.1138419359922409,-0.427978515625,0.0587158203125,0.41094598174095154,0.17513370513916016,0.4304143488407135,0.17028193175792694,0.14566615421394832,0.09890157382103082,-0.8367 ± 0.1138,-0.4280 ± 0.0587,0.4109 ± 0.1751,0.1457 ± 0.0989
TAMX,-0.17508211731910706,0.1306825429201126,-0.1654052734375,0.01849365234375,0.11826783418655396,0.01928994432091713,0.14940014481544495,0.018292535096406937,-0.0018635543718575607,0.052479541441120624,-0.1751 ± 0.1307,-0.1654 ± 0.0185,0.1183 ± 0.0193,-0.0019 ± 0.0525
